Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 6.0.36,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 6.0.36  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.36,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,Microsoft.Extensions.Caching.StackExchangeRedis 6.0.36,,,,,"Microsoft.Extensions.Caching.StackExchangeRedis, 6.0.36  Recommendation:  Remove Microsoft.Extensions.Caching.StackExchangeRedis, and replace with new package Microsoft.Extensions.Caching.StackExchangeRedis 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore 6.0.36,,,,,"Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore, 6.0.36  Recommendation:  Remove Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore, and replace with new package Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore 10.0.11"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,AutoMapper 12.0.1,,,,,"AutoMapper, 12.0.1  Recommendation:  AutoMapper, 16.2.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,AutoMapper.Extensions.Microsoft.DependencyInjection 12.0.1,,,,,"AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1  Recommendation:  The functionality of this package is now included directly in AutoMapper. Remove AutoMapper.Extensions.Microsoft.DependencyInjection, and replace with new package AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,FluentValidation.AspNetCore 11.3.1,,,,,"FluentValidation.AspNetCore, 11.3.1  Recommendation:  Should be replaced. Remove FluentValidation.AspNetCore, and replace with new package FluentValidation.AspNetCore, 11.3.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,System.IdentityModel.Tokens.Jwt 6.36.0,,,,,"System.IdentityModel.Tokens.Jwt, 6.36.0  Recommendation:  Move to latest https://aka.ms/IdentityModel/LTS Remove System.IdentityModel.Tokens.Jwt, and replace with new package System.IdentityModel.Tokens.Jwt, 8.22.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\TaskManager.API.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\HealthChecks\HealthCheckExtensions.cs,40,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"options.MaximumHistoryEntriesPerEndpoint(                  configuration.GetValue<int>(""HealthChecksUI:MaximumHistoryEntriesPerEndpoint""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\HealthChecks\HealthCheckExtensions.cs,37,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"options.SetEvaluationTimeInSeconds(                  configuration.GetValue<int>(""HealthChecksUI:EvaluationTimeInSeconds""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\HealthChecks\HealthCheckExtensions.cs,35,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,"services.AddHealthChecksUI(options =>          {              options.SetEvaluationTimeInSeconds(                  configuration.GetValue<int>(""HealthChecksUI:EvaluationTimeInSeconds""));                options.MaximumHistoryEntriesPerEndpoint(                  configuration.GetValue<int>(""HealthChecksUI:MaximumHistoryEntriesPerEndpoint""));                options.AddHealthCheckEndpoint(                  ""TaskManager API"",                  endpoint);          })          .AddInMemoryStorage();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\MembershipController.cs,61,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, mapped, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\UserController.cs,76,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, user, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\UserController.cs,55,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\ProjectController.cs,69,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, project, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\ProjectController.cs,49,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\RoleController.cs,67,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, role, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\RoleController.cs,47,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\AuditLogController.cs,49,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\TaskController.cs,170,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\TaskController.cs,71,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, task, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\TaskController.cs,51,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\TeamController.cs,69,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, team, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\TeamController.cs,49,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\TeamMembersController.cs,58,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\CommentController.cs,74,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, comments, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\CommentController.cs,53,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\ProjectMembersController.cs,57,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\InvitationController.cs,121,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, invitation, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\InvitationController.cs,98,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\NotificationController.cs,46,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\WorkspaceController.cs,72,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskManager.API\TaskManager.API.csproj,File,TaskManager.API\Controllers\TaskAssignmentController.cs,44,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cacheService.SetAsync(cacheKey, result, TimeSpan.FromMinutes(5));"
